# lambda flux err tem
# angstroms ergs^-1cm^-2a^-1 ergs^-1cm^-2a^-1 none
4367.066 6.941 2.353 59.522
4368.072 7.766 2.348 59.616
4369.078 6.891 2.342 60.209
4370.084 4.134 2.255 57.166
4371.091 5.727 2.243 56.706
4372.098 5.436 2.221 55.978
4373.104 4.006 2.227 56.399
4374.111 3.151 2.227 57.012
4375.118 4.985 2.206 55.364
4376.125 2.739 2.180 54.474
4377.133 4.162 2.170 53.924
4378.141 7.150 2.186 53.817
4379.150 0.139 2.118 55.802
4380.159 4.257 2.166 55.843
4381.167 4.094 2.154 54.747
4382.176 2.482 2.157 54.967
4383.186 0.647 2.159 55.027
4384.195 -0.643 2.095 51.483
4385.204 6.406 2.091 48.309
4386.214 1.886 2.035 49.544
4387.224 -1.034 1.975 49.148
4388.234 -2.461 1.979 51.019
4389.245 2.676 2.062 51.573
4390.255 3.236 2.067 51.923
4391.267 0.577 2.069 53.598
4392.278 3.009 2.089 54.195
4393.289 3.745 2.126 54.692
4394.301 0.011 2.115 55.379
4395.313 -1.275 2.112 55.929
4396.325 -0.176 2.140 56.150
4397.337 1.744 2.171 56.501
4398.350 2.697 2.134 56.306
4399.363 1.875 2.134 56.936
4400.376 2.720 2.127 56.643
4401.390 0.266 2.123 57.090
4402.403 1.614 2.140 56.051
4403.417 2.205 2.153 56.406
4404.431 0.527 2.136 55.100
4405.445 -2.316 2.089 53.466
4406.460 -2.348 2.023 52.710
4407.474 1.795 2.049 52.425
4408.490 2.120 2.058 51.812
4409.504 -1.397 2.050 52.503
4410.521 -0.764 2.086 54.531
4411.536 0.336 2.098 54.532
4412.551 -0.149 2.093 56.800
4413.568 1.381 2.120 57.790
4414.584 -0.054 2.132 58.402
4415.601 1.487 2.106 57.165
4416.618 -0.591 2.069 56.831
4417.635 -1.476 2.060 57.477
4418.652 0.873 2.067 56.531
4419.670 -5.968 2.027 57.657
4420.688 -3.881 2.071 58.793
4421.705 4.247 2.177 59.101
4422.724 2.902 2.180 59.221
4423.742 -0.022 2.149 57.440
4424.761 -0.882 2.126 57.887
4425.780 0.441 2.129 58.271
4426.799 2.063 2.117 56.979
4427.818 -3.459 2.057 57.837
4428.838 -4.853 2.053 57.704
4429.858 -1.057 2.138 58.829
4430.878 -2.779 2.130 59.447
4431.898 -2.042 2.082 57.410
4432.919 -1.823 2.134 59.173
4433.940 -3.190 2.130 58.457
4434.961 -0.854 2.091 57.071
4435.982 -3.599 2.077 56.653
4437.003 -2.056 2.085 56.693
4438.025 -0.673 2.099 57.745
4439.048 -0.582 2.082 57.937
4440.070 -1.539 2.070 58.340
4441.093 1.297 2.137 59.029
4442.115 1.244 2.157 59.183
4443.138 -4.372 2.134 60.036
4444.162 -3.668 2.115 59.859
4445.185 -2.658 2.084 57.741
4446.208 1.769 2.122 58.424
4447.232 4.420 2.169 58.522
4448.256 1.688 2.198 60.352
4449.281 -1.656 2.185 60.921
4450.305 2.716 2.208 60.091
4451.330 3.895 2.203 60.735
4452.355 0.476 2.109 60.029
4453.380 0.318 2.118 58.898
4454.406 -0.506 2.143 59.457
4455.432 0.268 2.182 58.167
4456.458 1.774 2.196 56.739
4457.484 -1.132 2.084 55.676
4458.511 -1.533 2.038 54.355
4459.538 0.669 2.067 53.987
4460.564 -2.292 2.062 55.347
4461.591 -3.881 2.036 55.804
4462.619 -1.840 2.039 55.849
4463.646 -4.018 2.012 56.576
4464.675 -3.985 2.003 56.706
4465.703 0.627 2.046 57.289
4466.731 -0.576 2.042 58.403
4467.760 -1.150 2.031 59.179
4468.788 -3.338 2.002 59.068
4469.818 -3.594 2.021 60.205
4470.847 -3.786 2.032 60.245
4471.876 -2.128 2.070 58.585
4472.906 3.533 2.092 57.709
4473.937 0.951 2.116 59.865
4474.967 0.616 2.115 61.147
4475.997 -1.131 2.111 61.859
4477.028 -1.032 2.121 62.078
4478.059 0.601 2.144 63.364
4479.090 -0.213 2.168 63.700
4480.122 1.758 2.182 63.766
4481.153 1.376 2.219 63.171
4482.185 -0.467 2.199 61.505
4483.217 -2.854 2.136 60.054
4484.250 -1.779 2.096 59.874
4485.283 -1.774 2.064 61.221
4486.315 2.679 2.134 62.364
4487.349 -0.067 2.124 63.044
4488.382 3.708 2.182 63.135
4489.416 2.096 2.150 62.497
4490.450 3.661 2.145 60.861
4491.484 1.519 2.102 61.232
4492.518 -0.555 2.078 61.165
4493.552 1.273 2.113 60.058
4494.587 -0.750 2.120 60.553
4495.622 1.786 2.184 59.793
4496.657 1.666 2.169 59.859
4497.693 -1.901 2.103 60.612
4498.729 3.331 2.133 60.182
4499.765 -0.780 2.141 62.406
4500.801 1.272 2.198 62.562
4501.837 3.227 2.293 61.636
4502.874 3.230 2.344 62.868
4503.911 3.321 2.304 63.313
4504.948 1.231 2.248 64.250
4505.985 0.913 2.255 64.840
4507.023 4.279 2.324 64.600
4508.061 3.066 2.322 65.612
4509.100 5.290 2.277 64.449
4510.138 -0.614 2.190 64.130
4511.177 1.358 2.233 65.428
4512.215 3.092 2.281 63.552
4513.254 1.416 2.297 64.572
4514.293 -0.764 2.258 64.740
4515.333 -0.823 2.214 63.075
4516.373 1.907 2.210 62.395
4517.414 1.594 2.227 62.490
4518.454 0.626 2.244 62.162
4519.494 -2.018 2.249 63.167
4520.535 0.294 2.290 64.613
4521.576 2.230 2.281 64.204
4522.617 -2.243 2.210 65.117
4523.658 0.723 2.221 63.446
4524.700 -4.770 2.128 63.794
4525.743 2.935 2.183 62.762
4526.784 -0.869 2.086 60.306
4527.827 0.476 2.104 59.373
4528.870 2.771 2.108 58.188
4529.913 -2.900 2.063 58.593
4530.956 -0.929 2.037 57.238
4531.999 4.568 2.097 56.748
4533.042 0.276 2.065 58.606
4534.086 -1.723 2.094 59.843
4535.131 4.347 2.168 58.319
4536.175 3.557 2.121 57.175
4537.220 -0.774 2.085 58.449
4538.264 4.237 2.123 59.343
4539.310 6.016 2.169 60.259
4540.355 2.542 2.153 62.334
4541.401 2.199 2.204 63.219
4542.446 1.231 2.182 62.959
4543.493 5.551 2.187 61.556
4544.539 3.973 2.140 62.125
4545.585 -1.371 2.100 63.050
4546.632 2.604 2.139 61.225
4547.679 -2.096 2.100 61.395
4548.727 1.100 2.153 62.497
4549.774 3.215 2.133 61.202
4550.821 -0.168 2.059 60.953
4551.870 2.356 2.087 61.225
4552.918 2.006 2.080 60.660
4553.966 1.431 2.059 61.501
4555.015 -1.053 2.050 61.471
4556.064 -0.829 2.071 61.537
4557.113 3.553 2.120 60.549
4558.163 0.651 2.072 62.062
4559.212 -0.864 2.108 64.007
4560.262 2.253 2.132 62.689
4561.312 -0.167 2.154 64.464
4562.363 1.943 2.196 66.569
4563.413 5.344 2.214 64.556
4564.464 1.149 2.169 65.727
4565.515 1.313 2.139 64.318
4566.567 2.892 2.154 62.165
4567.618 6.082 2.215 63.371
4568.670 -0.389 2.137 62.947
4569.722 2.991 2.150 62.877
4570.775 0.814 2.108 64.109
4571.827 2.209 2.107 64.510
4572.880 2.104 2.120 63.785
4573.933 0.289 2.138 65.619
4574.987 2.122 2.131 64.908
4576.040 5.562 2.162 64.054
4577.094 2.726 2.126 64.321
4578.147 1.966 2.101 64.433
4579.202 3.484 2.113 63.361
4580.256 1.509 2.093 63.193
4581.312 1.347 2.088 63.090
4582.366 -1.150 2.055 62.405
4583.421 -0.679 2.068 62.923
4584.477 0.957 2.092 63.194
4585.533 1.507 2.104 63.126
4586.589 1.000 2.101 61.933
4587.645 -0.607 2.104 62.667
4588.701 2.753 2.162 63.340
4589.758 1.501 2.152 63.859
4590.815 -0.049 2.105 64.748
4591.873 1.009 2.114 65.294
4592.930 -1.090 2.084 63.941
4593.987 0.594 2.079 61.769
4595.045 3.319 2.099 62.035
4596.104 -0.408 2.069 62.914
4597.162 1.798 2.101 62.456
4598.220 0.912 2.095 62.624
4599.279 -1.281 2.105 62.783
4600.339 3.526 2.117 61.856
4601.398 1.438 2.101 63.657
4602.458 -1.308 2.060 63.502
4603.518 1.468 2.071 62.759
4604.577 1.815 2.083 63.760
4605.638 2.478 2.088 63.659
4606.699 2.586 2.081 62.895
4607.760 3.397 2.081 62.978
4608.821 3.054 2.126 64.542
4609.882 3.802 2.157 64.675
4610.943 0.137 2.154 66.997
4612.005 1.380 2.122 65.911
4613.068 0.965 2.084 65.543
4614.129 -0.553 2.091 66.898
4615.192 1.218 2.142 65.733
4616.255 -0.171 2.130 65.498
4617.318 2.851 2.136 66.173
4618.381 -0.069 2.117 65.970
4619.445 -0.352 2.087 65.706
4620.509 -3.197 2.054 66.410
4621.573 1.150 2.139 66.284
4622.637 1.757 2.161 67.138
4623.702 0.724 2.138 67.605
4624.766 0.322 2.107 66.485
4625.832 0.971 2.089 65.403
4626.897 1.447 2.115 66.358
4627.962 1.412 2.138 65.822
4629.028 1.495 2.151 65.349
4630.094 3.081 2.168 65.891
4631.161 0.121 2.133 66.635
4632.227 -0.972 2.076 65.026
4633.293 7.672 2.195 64.803
4634.360 5.121 2.223 65.667
4635.428 4.329 2.184 65.547
4636.496 1.801 2.124 65.247
4637.562 0.893 2.102 64.444
4638.631 -0.522 2.096 64.014
4639.699 2.466 2.108 63.108
4640.768 -0.007 2.068 62.900
4641.836 -0.412 2.121 62.111
4642.905 1.091 2.180 62.903
4643.974 2.233 2.174 63.395
4645.044 0.364 2.104 63.404
4646.114 -1.059 2.063 63.366
4647.183 0.708 2.092 61.947
4648.253 1.306 2.106 60.974
4649.324 -4.804 2.069 62.178
4650.395 0.571 2.100 61.055
4651.465 4.964 2.160 60.434
4652.537 2.346 2.163 63.151
4653.608 1.733 2.145 62.846
4654.680 -1.409 2.103 63.802
4655.752 -0.509 2.093 64.608
4656.824 1.683 2.109 63.674
4657.896 1.773 2.169 63.828
4658.969 1.156 2.220 64.253
4660.042 2.537 2.234 64.851
4661.114 0.890 2.179 65.426
4662.188 1.986 2.176 65.206
4663.262 1.310 2.193 66.440
4664.335 2.254 2.185 65.357
4665.410 3.097 2.085 63.334
4666.484 1.154 2.039 63.479
4667.559 -1.428 1.964 61.514
4668.634 -2.592 1.927 59.970
4669.708 -2.393 1.924 59.306
4670.784 -2.315 1.933 59.290
4671.860 -0.534 1.958 60.175
4672.936 -0.591 1.996 62.044
4674.012 0.494 2.000 62.279
4675.088 -0.120 2.021 63.555
4676.165 2.222 2.071 63.337
4677.242 0.745 2.082 63.485
4678.319 -2.181 2.071 65.150
4679.396 2.905 2.089 63.473
4680.474 0.966 2.034 63.563
4681.551 1.945 2.039 62.913
4682.629 3.177 2.039 62.534
4683.708 -0.117 2.015 63.047
4684.787 5.939 2.086 62.326
4685.865 6.202 2.095 62.892
4686.944 2.819 2.049 63.788
4688.023 6.281 2.085 63.508
4689.104 1.753 2.027 64.230
4690.184 -1.009 1.994 64.637
4691.264 1.203 2.029 63.630
4692.344 0.337 2.047 64.914
4693.424 1.784 2.058 65.093
4694.505 -3.719 1.974 64.136
4695.586 -2.464 1.973 64.727
4696.667 -2.397 1.973 65.343
4697.749 -0.841 2.006 64.221
4698.831 -0.814 1.995 62.666
4699.913 -2.371 1.991 63.953
4700.995 -3.028 1.928 63.020
4702.078 -0.917 1.936 63.495
4703.161 -5.644 1.872 63.433
4704.244 -0.059 1.915 60.087
4705.327 0.369 1.959 61.140
4706.411 -0.289 1.961 61.247
4707.495 -1.107 1.947 61.243
4708.578 1.172 1.960 62.284
4709.663 2.053 1.968 60.779
4710.747 0.550 1.932 61.761
4711.832 -0.997 1.958 62.464
4712.917 0.531 1.963 62.015
4714.002 1.030 1.987 63.786
4715.088 -2.167 1.953 64.079
4716.174 -1.744 1.940 62.535
4717.260 0.196 2.001 63.658
4718.346 0.967 2.015 64.047
4719.433 -0.957 2.016 65.044
4720.520 0.723 1.982 65.646
4721.606 -0.384 1.967 65.949
4722.694 1.785 2.004 68.517
4723.782 0.960 2.007 66.909
4724.870 -1.789 1.958 66.391
4725.957 -1.757 1.959 66.220
4727.046 0.111 1.976 66.219
4728.134 0.284 1.989 65.589
4729.223 3.027 2.024 63.768
4730.312 -4.128 1.957 64.297
4731.402 1.272 1.978 63.593
4732.491 -3.979 1.891 62.672
4733.581 -3.621 1.905 63.124
4734.671 1.088 1.994 63.010
4735.762 -0.615 1.994 63.923
4736.853 -0.860 1.969 64.560
4737.942 -3.237 1.934 64.177
4739.034 2.729 1.992 64.436
4740.125 -0.316 1.996 64.440
4741.216 -1.071 2.045 65.590
4742.309 2.235 2.149 65.366
4743.401 5.176 2.116 64.422
4744.493 0.215 2.023 65.918
4745.585 -1.344 1.976 66.594
4746.679 0.415 1.999 66.520
4747.771 -2.266 1.961 66.683
4748.865 -2.505 1.966 66.247
4749.958 -0.350 1.978 66.329
4751.052 -1.152 2.012 66.602
4752.147 -2.159 2.034 68.689
4753.241 1.029 2.057 66.843
4754.335 -1.010 1.987 65.276
4755.431 -1.853 1.941 65.935
4756.525 -2.189 1.905 64.390
4757.621 -4.696 1.859 64.049
4758.716 -1.666 1.957 65.739
4759.812 1.245 1.992 65.844
4760.908 0.706 1.998 63.843
4762.004 1.998 2.026 64.918
4763.101 -3.250 1.943 65.928
4764.198 -3.893 1.906 65.370
4765.295 -5.455 1.858 63.429
4766.393 -1.238 1.901 63.233
4767.490 -4.043 1.867 63.460
4768.587 -4.460 1.853 63.232
4769.686 -3.186 1.877 62.794
4770.785 -1.291 1.966 64.746
4771.883 1.636 2.017 64.136
4772.982 -1.048 1.974 64.161
4774.081 -2.772 1.987 66.218
4775.181 0.965 2.018 65.507
4776.280 -0.946 1.974 64.723
4777.380 1.367 2.028 66.693
4778.480 -0.727 2.033 68.505
4779.581 -3.005 1.999 66.914
4780.681 2.063 2.063 66.916
4781.783 0.805 2.046 67.061
4782.884 -0.520 2.017 65.206
4783.985 0.285 2.019 65.173
4785.087 -1.670 1.981 65.417
4786.188 -2.150 2.109 65.080
4787.291 -0.515 2.207 65.073
4788.393 -1.247 2.161 63.180
4789.497 0.340 2.194 64.765
4790.599 3.958 2.235 64.694
4791.702 -0.738 2.291 64.407
4792.806 -0.652 2.336 64.781
4793.910 1.642 2.270 65.995
4795.013 0.725 2.306 67.642
4796.118 1.596 2.385 68.612
4797.222 2.303 2.392 67.498
4798.327 4.527 2.393 66.352
4799.432 0.454 1.969 66.906
4800.537 -5.022 1.902 67.243
4801.642 -1.780 1.937 67.440
4802.748 1.701 1.948 65.992
4803.854 -3.178 1.913 67.138
4804.960 -0.187 1.938 67.840
4806.067 2.050 1.974 67.363
4807.174 -2.357 1.911 66.260
4808.281 -1.714 1.929 67.789
4809.388 -0.521 1.946 65.845
4810.496 1.167 1.958 65.528
4811.604 0.436 1.960 67.473
4812.711 -0.075 1.920 65.199
4813.819 2.745 1.982 66.176
4814.928 1.071 1.986 67.307
4816.037 3.433 2.017 66.944
4817.146 4.720 2.038 66.775
4818.255 6.613 2.057 67.885
4819.365 6.619 2.062 68.620
4820.475 4.309 2.021 67.594
4821.585 3.710 2.008 67.015
4822.695 3.416 2.011 67.536
4823.805 6.356 2.056 67.404
4824.916 3.168 2.029 67.256
4826.028 4.389 2.022 66.363
4827.139 6.513 2.036 66.566
4828.250 6.668 2.036 66.995
4829.363 5.294 2.025 66.724
4830.475 2.875 2.009 67.462
4831.587 7.068 2.027 66.235
4832.700 7.873 2.040 66.122
4833.812 6.217 2.006 66.602
4834.926 7.356 2.045 66.734
4836.039 7.551 2.041 66.250
4837.152 10.122 2.069 66.448
4838.267 10.257 2.061 66.244
4839.381 8.121 2.077 67.592
4840.496 9.398 2.083 67.788
4841.610 10.001 2.086 66.198
4842.725 7.203 2.057 66.289
4843.840 11.422 2.080 65.172
4844.956 12.426 2.138 66.866
4846.071 11.009 2.124 67.072
4847.188 11.696 2.113 67.185
4848.304 11.818 2.134 68.477
4849.420 15.916 2.162 67.056
4850.537 14.838 2.186 68.038
4851.653 15.866 2.220 67.767
4852.771 18.490 2.258 66.461
4853.889 15.597 2.219 68.656
4855.006 14.215 2.170 67.860
4856.125 16.355 2.193 66.808
4857.243 15.354 2.199 66.818
4858.361 14.795 2.203 66.182
4859.480 21.710 2.256 65.449
4860.599 20.251 2.210 64.969
4861.718 26.362 2.300 64.841
4862.838 32.545 2.370 63.190
4863.958 34.956 2.381 61.468
4865.078 31.034 2.297 60.807
4866.198 22.091 2.211 62.006
4867.319 17.645 2.146 62.616
4868.440 16.196 2.110 63.617
4869.561 13.399 2.090 64.131
4870.683 17.611 2.143 64.901
4871.804 13.098 2.101 64.303
4872.926 15.440 2.131 64.638
4874.048 13.014 2.083 63.567
4875.170 15.402 2.087 62.768
4876.293 14.598 2.125 64.361
4877.417 15.440 2.157 63.647
4878.539 12.718 2.154 63.797
4879.663 16.148 2.207 65.169
4880.787 16.231 2.216 66.420
4881.910 16.103 2.206 66.265
4883.034 15.514 2.166 65.676
4884.159 13.382 2.123 64.574
4885.284 14.174 2.137 64.228
4886.409 13.452 2.154 63.906
4887.534 10.620 2.127 63.993
4888.660 9.968 2.099 64.139
4889.786 11.136 2.063 62.469
4890.911 13.203 2.062 63.166
4892.038 6.747 2.012 64.029
4893.165 6.438 1.997 63.466
4894.291 9.283 2.035 63.363
4895.418 7.848 2.078 65.680
4896.545 11.767 2.136 66.691
4897.673 12.055 2.147 67.288
4898.801 9.395 2.119 69.196
4899.929 8.574 2.088 68.160
4901.058 5.946 2.056 68.086
4902.186 5.129 2.027 66.471
4903.315 9.071 2.059 66.240
4904.444 7.330 2.035 65.902
4905.574 6.840 2.015 65.683
4906.704 6.856 2.027 65.955
4907.833 6.675 2.028 65.869
4908.964 7.431 2.048 67.088
4910.094 2.062 1.995 66.581
4911.225 8.269 2.046 65.995
4912.355 8.017 2.013 64.724
4913.487 5.590 1.979 64.635
4914.618 6.262 1.967 65.181
4915.750 5.710 1.983 66.064
4916.882 4.002 1.966 65.769
4918.015 6.783 1.982 65.327
4919.147 4.239 1.950 65.064
4920.280 1.609 1.909 63.896
4921.413 0.699 1.898 62.179
4922.546 0.461 1.886 61.498
4923.680 4.249 1.913 61.374
4924.813 5.598 1.915 60.797
4925.947 2.944 1.906 62.532
4927.082 4.052 1.939 64.263
4928.217 7.203 1.998 65.033
4929.352 4.818 2.011 66.146
4930.487 3.125 1.993 66.335
4931.623 4.198 1.985 67.098
4932.758 5.949 2.009 67.790
4933.894 3.617 1.984 67.960
4935.030 2.800 1.972 66.426
4936.167 3.934 1.968 65.023
4937.303 2.701 1.951 65.074
4938.440 5.990 1.959 63.994
4939.578 2.685 1.902 62.010
4940.715 3.388 1.916 60.985
4941.853 3.689 1.929 62.791
4942.991 0.009 1.899 64.444
4944.129 1.377 1.924 65.209
4945.268 2.864 1.956 66.450
4946.406 3.129 1.981 68.070
4947.545 3.297 1.988 68.106
4948.685 1.387 1.967 68.242
4949.825 3.870 1.979 67.750
4950.964 0.667 1.958 68.547
4952.104 1.608 1.960 68.089
4953.245 2.463 1.990 67.639
4954.385 4.046 2.039 68.605
4955.527 5.297 2.032 67.421
4956.667 7.822 2.072 66.563
4957.810 17.655 2.171 65.182
4958.951 29.602 2.331 64.100
4960.093 49.751 2.589 63.673
4961.235 60.094 2.732 63.815
4962.377 49.400 2.621 64.175
4963.520 27.867 2.316 65.437
4964.664 11.378 2.084 65.178
4965.806 6.369 1.977 65.208
4966.951 3.965 1.941 65.305
4968.094 1.355 1.879 64.756
4969.238 1.177 1.865 64.331
4970.383 1.756 1.874 63.577
4971.527 2.091 1.903 64.210
4972.672 5.839 1.961 64.819
4973.817 2.972 1.963 64.689
4974.962 -0.285 1.932 66.096
4976.108 2.727 1.967 65.999
4977.254 1.771 1.919 64.587
4978.400 2.382 1.936 65.760
4979.547 3.138 1.915 64.931
4980.693 -1.381 1.859 64.532
4981.841 -3.130 1.824 64.068
4982.988 -0.905 1.818 62.374
4984.135 1.196 1.837 61.725
4985.283 -1.634 1.800 61.533
4986.431 -0.123 1.805 61.032
4987.580 0.679 2.059 62.721
4988.728 0.735 2.103 62.880
4989.876 3.978 1.914 63.107
4991.026 1.268 1.920 65.088
4992.175 -0.443 1.927 65.109
4993.325 -0.952 1.898 64.214
4994.475 0.810 1.895 65.561
4995.625 -0.665 1.864 65.684
4996.775 1.402 1.854 64.432
4997.926 -1.263 1.834 65.011
4999.077 3.807 1.900 64.493
5000.228 4.772 1.936 64.704
5001.379 5.694 2.035 64.658
5002.532 9.678 2.061 62.721
5003.683 19.115 2.136 62.321
5004.835 34.998 2.356 62.005
5005.988 58.197 2.731 61.653
5007.141 96.829 3.350 64.091
5008.294 160.137 4.216 62.693
5009.447 177.573 4.483 62.374
5010.601 128.659 3.706 63.390
5011.754 59.709 2.760 62.871
5012.909 23.014 2.189 62.515
5014.063 12.350 1.994 60.784
5015.218 5.366 1.901 62.030
5016.373 4.670 1.881 61.430
5017.528 2.011 1.831 59.290
5018.683 -0.346 1.796 59.647
5019.839 -1.196 1.800 62.145
5020.995 -4.942 1.776 62.453
5022.151 -1.204 1.789 62.041
5023.308 -1.321 1.797 62.205
5024.465 0.600 1.819 62.218
5025.622 1.421 1.856 62.628
5026.779 2.915 1.872 62.332
5027.937 -1.431 1.838 63.687
5029.094 -1.515 1.851 63.471
5030.252 5.795 1.958 63.532
5031.412 2.709 2.242 63.570
5032.570 1.309 2.680 63.891
5033.729 4.798 2.721 64.724
5034.888 3.770 2.008 63.856
5036.047 -2.491 1.911 65.011
5037.208 -0.321 1.840 63.803
5038.367 -1.641 1.822 64.020
5039.528 -2.459 1.792 63.005
5040.688 3.377 1.828 60.873
5041.849 -0.600 1.769 60.021
5043.009 -1.476 1.750 59.984
5044.171 -2.093 1.774 61.419
5045.333 1.372 1.811 61.409
5046.495 0.490 1.842 63.355
5047.657 -0.067 1.845 64.046
5048.819 4.060 1.898 64.126
5049.981 1.086 1.869 64.318
5051.145 -1.206 1.809 64.442
5052.308 -0.110 1.829 63.993
5053.471 -1.925 1.783 63.384
5054.635 -1.767 1.828 64.957
5055.799 0.983 1.865 64.021
5056.963 -0.481 1.844 64.048
5058.128 -1.039 1.843 65.771
5059.292 1.732 1.874 66.115
5060.458 0.545 1.884 66.618
5061.624 1.249 1.914 67.311
5062.789 2.781 1.932 66.068
5063.955 -0.934 1.902 66.504
5065.121 -3.043 1.882 67.173
5066.287 -2.827 1.851 65.660
5067.454 -0.559 1.822 64.069
5068.621 0.061 1.819 63.044
5069.788 -2.078 1.820 63.391
5070.956 -0.856 1.849 63.915
5072.124 -1.047 1.864 64.607
5073.291 -0.863 1.833 63.397
5074.460 0.198 1.833 62.435
5075.628 -1.275 1.852 63.872
5076.797 0.243 1.901 64.481
5077.966 0.141 1.859 62.724
5079.136 -1.970 1.805 63.258
5080.306 -2.567 1.781 62.547
5081.475 -2.670 1.750 61.020
5082.646 -0.894 1.769 61.109
5083.815 -2.580 1.753 61.159
5084.986 -3.087 1.778 62.142
5086.158 -1.476 1.822 62.724
5087.329 -0.817 1.864 63.049
5088.500 -1.643 1.851 63.726
5089.672 0.750 1.856 63.760
5090.844 0.779 1.853 64.086
5092.017 0.257 1.869 65.581
5093.189 -1.886 1.846 65.055
5094.362 -0.316 1.825 64.797
5095.535 -1.882 1.840 65.424
5096.709 0.769 1.854 65.012
5097.882 0.954 1.872 64.810
5099.057 -2.072 1.850 65.702
5100.230 -1.679 1.794 61.682
5101.405 -3.199 1.764 61.425
5102.580 -3.214 1.797 62.849
5103.755 -1.137 1.806 63.472
5104.930 -0.200 1.825 63.284
5106.106 -1.679 1.809 62.867
5107.282 -1.703 1.805 63.027
5108.458 -2.959 1.790 62.964
5109.634 -1.485 1.804 61.578
5110.811 -2.131 1.773 61.648
5111.988 -0.195 1.802 62.051
5113.165 1.735 1.797 60.733
5114.343 1.643 1.806 61.585
5115.520 1.157 1.830 63.811
5116.699 -0.650 1.840 64.788
5117.876 0.002 1.850 64.961
5119.055 1.003 1.862 64.705
5120.234 -0.935 1.866 65.759
5121.413 1.739 1.920 66.467
5122.593 1.190 1.887 65.324
5123.772 0.781 1.835 62.726
5124.953 3.261 1.824 60.271
5126.132 -2.247 1.761 61.217
5127.313 -0.656 1.760 61.351
5128.494 -4.628 1.728 61.909
5129.675 -0.810 1.751 60.660
5130.855 0.403 1.750 59.607
5132.038 1.185 1.767 59.938
5133.219 -2.212 1.762 61.605
5134.401 0.488 1.807 63.490
5135.583 -2.935 1.777 63.815
5136.766 -1.308 1.800 63.487
5137.949 1.885 1.828 63.821
5139.132 -0.684 1.815 64.489
5140.316 -3.025 1.787 62.451
5141.500 -2.482 1.803 64.083
5142.684 -1.983 1.824 63.042
5143.868 0.041 1.808 61.540
5145.053 -1.569 1.799 61.799
5146.237 0.818 1.785 61.309
5147.422 2.608 1.820 61.980
5148.607 -0.172 1.785 62.605
5149.793 0.046 1.804 62.064
5150.979 0.332 1.783 61.825
5152.166 -0.074 1.769 61.271
5153.352 0.481 1.780 62.163
5154.539 -0.331 1.772 63.033
5155.726 -0.147 1.768 62.585
5156.913 -0.929 1.806 63.483
5158.101 2.356 1.850 63.008
5159.289 0.503 1.861 64.095
5160.477 -0.391 1.838 64.103
5161.665 2.569 1.852 63.764
5162.854 -0.709 1.820 65.291
5164.042 -0.860 1.791 64.224
5165.232 2.630 1.798 62.181
5166.421 0.343 1.761 61.093
5167.611 -4.387 1.721 59.321
5168.801 -3.737 1.697 56.812
5169.991 -2.763 1.622 52.843
5171.182 -2.904 1.606 54.240
5172.373 -2.066 1.641 55.428
5173.563 -1.270 1.642 53.256
5174.755 0.027 1.644 52.926
5175.947 -2.876 1.639 54.345
5177.139 0.331 1.709 56.963
5178.331 1.438 1.760 58.501
5179.524 4.164 1.779 59.870
5180.716 -0.381 1.744 61.165
5181.909 4.686 1.787 59.423
5183.103 2.224 1.771 58.842
5184.296 -3.361 1.697 58.060
5185.490 -0.106 1.697 56.443
5186.684 0.593 1.652 54.115
5187.878 2.040 1.686 55.500
5189.073 2.425 1.742 59.246
5190.269 -0.057 1.760 60.891
5191.463 3.579 1.799 61.200
5192.659 -0.915 1.745 62.026
5193.855 -0.582 1.760 63.326
5195.051 0.227 1.755 61.150
5196.247 1.963 1.772 61.487
5197.444 0.022 1.751 61.140
5198.641 -0.283 1.771 62.542
5199.838 2.106 1.832 63.196
5201.036 7.456 1.919 62.062
5202.233 4.855 1.932 63.966
5203.431 3.409 1.911 65.865
5204.629 1.685 1.846 64.540
5205.828 1.639 1.815 62.198
5207.027 -0.997 1.754 61.773
5208.226 -2.105 1.708 59.986
5209.425 1.343 1.752 59.771
5210.625 -0.679 1.711 59.283
5211.825 -2.442 1.712 59.869
5213.025 3.581 1.800 61.232
5214.226 2.174 1.837 62.682
5215.426 -1.161 1.793 63.100
5216.627 0.464 1.831 64.519
5217.829 -0.431 1.834 64.238
5219.031 1.061 1.849 63.731
5220.232 -1.165 1.837 64.926
5221.435 0.735 1.858 65.074
5222.636 3.443 1.877 65.865
5223.839 -0.035 1.869 65.699
5225.042 1.545 1.883 65.860
5226.246 -1.455 1.826 64.404
5227.449 -1.206 1.782 61.529
5228.653 -1.710 1.777 61.311
5229.857 -2.132 1.805 62.771
5231.062 0.565 1.841 63.576
5232.266 0.707 1.838 63.775
5233.471 -2.213 1.800 64.476
5234.676 1.576 1.837 64.475
5235.881 0.042 1.813 64.749
5237.087 1.359 1.810 64.306
5238.293 0.322 1.827 64.921
5239.500 -0.431 1.947 67.615
5240.706 3.972 2.128 66.219
5241.913 2.639 2.108 66.459
5243.120 1.687 2.002 67.689
5244.328 -1.990 1.887 67.688
5245.535 0.071 1.854 66.901
5246.744 2.203 1.895 66.226
5247.951 0.468 1.885 66.844
5249.160 0.369 1.904 66.449
5250.369 -1.078 1.845 64.989
5251.578 0.985 1.856 64.430
5252.787 1.679 1.846 64.761
